2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[85]------ 读取加密证书…… 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[105]------ 加密证书读取成功，序列号：68759585097 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[62]------ 签名证书读取成功，序列号：40220995861346480087409489142384722381 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[22]------ =====签名报文开始====== 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[28]------ 签名key=val&...串 >accNo=rQl8Ow1IMs0816en4748qqREtkvALxz13BNN1HcLteismXFR+ckDr6iS24a70JMOPXqP91nAIEgn5GHnnNpPh/Kx7UZTTVwlf3w0YEPLQSFP6GKbyF8SEYc5woydtAzcAiSqj+c6Uvd/tcrt/4j5U7MU5xcLcD8sVf+62NZC5Fm43Xfkk7h3iiiCASzYxuKhb/ErLUunSxD6Bzy4PXRY18NuwqlvcZQzx+LlgEMl8HcI7KZiMeKp2hCh32UB0rhvY81bU7Z1vR+LEtykDq3c+2uOenKdYwV/t3Z7ozLMuvEu8vtkXtFbCptU1aZbdrNM+FLfWmeihOSBBtcQZwK1WQ==&accessType=0&backUrl=http://222.222.222.222/upacp_demo_dk/demo/api_09_dk/BackReceive.php&bizType=000501&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPXZYbnRLU2o3UjhzeTdPTHJ3cjZCNXpMNnlWSVpGOUtZWjVQZVJqTi9KaHFNMzBnNEo5ODZaelNYNHpwTThDc2hYMytyZXJOSE9LMHZ4eXFXT2R2R2JXcEpPYkI1VmJTZmttM1lXM3p6VUdTdXM5UGYxNXIxdTdiTUFBcFVTMlVCdmMzc0dkYmJxUVBhMGFpWCtNajEvVGpucVpOMUlJMlJ5TUd6ellzdmcvS01MbkpxTGl2Ky9FRXRxVzVVNE90eEIyZ1ZMcnprVjM3VzdkanNjbElsT040ZjZKL2w2aERlSGI2QTdOeWF4S3lIcU5kSzV4YThzY09LeGY1dWFXNVE5T2hNbjZDcklDWjBRSG16TVNXcEFYaXkzNDAvM1U4N0JIK3ZwQjNuVnFvaERYSDl6cll2amo2RHR3SEE1c3I4SWtxNDhQTzFnU1dEUWJSWXZlOXI5dz09fQ==&encoding=utf-8&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&signMethod=01&txnAmt=1000&txnSubType=00&txnTime=20160924105000&txnType=11&version=5.0.0 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[31]------ 摘要sha1x16 >7f9c27cb46f47d349c814b590d95df56d2b33104 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[39]------ 签名串为 >Lg6hNIFV0WcJYi7zX7PmB2gkYFsy+DLncinJGiDGu7eWF+gnx371ZmZ6fo55jOI3muK6pO9MpmnApq63uwq8v5Z5JXJ4a8vrhMyFkZ7mdiAgirCyJ5d3Q0tK1AqH++0sdaqIFlE7du1Ahix7qPFKkAKr6ZOdIEqA8lsdOAkJhbQ= 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[44]------ =====签名报文结束====== 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[101]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/backTransReq.do 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[102]------ 后台请求报文为>version=5.0.0&encoding=utf-8&signMethod=01&txnType=11&txnSubType=00&bizType=000501&accessType=0&channelType=07&currencyCode=156&backUrl=http%3A%2F%2F222.222.222.222%2Fupacp_demo_dk%2Fdemo%2Fapi_09_dk%2FBackReceive.php&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&txnTime=20160924105000&txnAmt=1000&accNo=rQl8Ow1IMs0816en4748qqREtkvALxz13BNN1HcLteismXFR%2BckDr6iS24a70JMOPXqP91nAIEgn5GHnnNpPh%2FKx7UZTTVwlf3w0YEPLQSFP6GKbyF8SEYc5woydtAzcAiSqj%2Bc6Uvd%2Ftcrt%2F4j5U7MU5xcLcD8sVf%2B62NZC5Fm43Xfkk7h3iiiCASzYxuKhb%2FErLUunSxD6Bzy4PXRY18NuwqlvcZQzx%2BLlgEMl8HcI7KZiMeKp2hCh32UB0rhvY81bU7Z1vR%2BLEtykDq3c%2B2uOenKdYwV%2Ft3Z7ozLMuvEu8vtkXtFbCptU1aZbdrNM%2BFLfWmeihOSBBtcQZwK1WQ%3D%3D&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPXZYbnRLU2o3UjhzeTdPTHJ3cjZCNXpMNnlWSVpGOUtZWjVQZVJqTi9KaHFNMzBnNEo5ODZaelNYNHpwTThDc2hYMytyZXJOSE9LMHZ4eXFXT2R2R2JXcEpPYkI1VmJTZmttM1lXM3p6VUdTdXM5UGYxNXIxdTdiTUFBcFVTMlVCdmMzc0dkYmJxUVBhMGFpWCtNajEvVGpucVpOMUlJMlJ5TUd6ellzdmcvS01MbkpxTGl2Ky9FRXRxVzVVNE90eEIyZ1ZMcnprVjM3VzdkanNjbElsT040ZjZKL2w2aERlSGI2QTdOeWF4S3lIcU5kSzV4YThzY09LeGY1dWFXNVE5T2hNbjZDcklDWjBRSG16TVNXcEFYaXkzNDAvM1U4N0JIK3ZwQjNuVnFvaERYSDl6cll2amo2RHR3SEE1c3I4SWtxNDhQTzFnU1dEUWJSWXZlOXI5dz09fQ%3D%3D&certId=40220995861346480087409489142384722381&signature=Lg6hNIFV0WcJYi7zX7PmB2gkYFsy%2BDLncinJGiDGu7eWF%2Bgnx371ZmZ6fo55jOI3muK6pO9MpmnApq63uwq8v5Z5JXJ4a8vrhMyFkZ7mdiAgirCyJ5d3Q0tK1AqH%2B%2B0sdaqIFlE7du1Ahix7qPFKkAKr6ZOdIEqA8lsdOAkJhbQ%3D 
